Name,X,Y,Angle,Value,Package
ANT1,19.80,11.70,270.00,2450AT18B100E,2450AT18B100E_ANTC3216X140N
C1,-25.30,-55.20,0.00,12pF,NORDIC_NRF_3_RESC0201_L
C1-EP-DR,60.80,-51.70,0.00,10uF,NORDIC_NRF_3_RESC0402_L
C10,-22.70,-55.20,0.00,N.C.,NORDIC_NRF_3_RESC0201_L
C11,-19.00,-55.20,0.00,100pF,NORDIC_NRF_3_RESC0201_L
C12,-21.70,-45.60,0.00,100nF,NORDIC_NRF_3_RESC0201_L
C13,-21.30,-48.60,0.00,N.C.,NORDIC_NRF_3_RESC0201_L
C14,-43.10,-45.30,0.00,4.7µF,NORDIC_NRF_3_RESC0402_L
C15,-18.30,-45.30,0.00,1.0µF,NORDIC_NRF_3_RESC0402_L
C16,-18.30,-48.10,0.00,47µF,NORDIC_NRF_3_RESC0402_L
C17,-38.60,-45.20,0.00,12pF,NORDIC_NRF_3_RESC0201_L
C18,-34.60,-45.00,0.00,12pF,NORDIC_NRF_3_RESC0201_L
C19,72.10,22.90,0.00,100nF,NORDIC_NRF_3_RESC0201_L
C2,-16.60,-55.10,0.00,12pF,NORDIC_NRF_3_RESC0201_L
C2-EP-DR,71.50,-51.70,0.00,4.7uF/25V,NORDIC_NRF_3_RESC0402_L
C20,-41.00,-65.20,0.00,4.7µF,NORDIC_NRF_3_RESC0402_L
C21,-30.60,-73.70,0.00,4.7µF,NORDIC_NRF_3_RESC0402_L
C22,22.10,11.50,0.00,N.C.,NORDIC_NRF_3_RESC0201_L
C23,60.30,-1.80,0.00,0.1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C24,63.90,-1.80,0.00,10uF,NORDIC_NRF_3_RESC0402_L
C25,67.60,-1.80,0.00,22uF,NORDIC_NRF_3_RESC0402_L
C27,76.50,-14.30,0.00,0.1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C29,-7.00,-23.20,0.00,1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C3,22.10,8.00,0.00,1pF,NORDIC_NRF_3_RESC0201_L
C30,-0.90,-23.10,0.00,1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C31,5.10,-23.50,0.00,1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C32,47.10,1.10,0.00,1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C33,71.00,-2.10,0.00,22uF,NORDIC_NRF_3_RESC0402_L
C34,47.10,-1.10,0.00,0.1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C37,42.20,24.00,0.00,1uF,GRM011R60J152KE01L_2_CAPC0201X13N
